Source Name	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Comment[EGA_SAMPLE]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[sex]	Characteristics[metastasis site]	Comment[COSMIC_ID]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Comment[EGA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Comment[EGA_RUN]	Comment[SUBMITTED_FILE_NAME]	Comment[ANALYSIS_FILE_NAME]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
ASH-3	ASH_3-sc-2188535	ERS622676	EGAN00001252851	Homo sapiens	NCBI Taxonomy	9606	ASH-3	thyroid gland	thyroid carcinoma	female	  	1290722	P-MTAB-68143	12974912_ERX979536	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979536	sequencing assay	ERX979536	EGAX00001300758	ERR900147	ERR900147	EGAR00001329472	15550_1.cram	HUMAN_37_RNA_seq_ASH-3_15550_1.ua.bam	ASH-3	thyroid gland	thyroid carcinoma
ATN-1	ATN_1-sc-2237127	ERS666941	EGAN00001266059	Homo sapiens	NCBI Taxonomy	9606	ATN-1	hematopoietic system	T-cell leukemia	not available	  	910687	P-MTAB-68143	13355129_ERX1027384	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX1027384	sequencing assay	ERX1027384	EGAX00001306563	ERR948399	ERR948399	EGAR00001336069	15863_2.cram	HUMAN_37_RNA_seq_ATN-1_15863_2.ua.bam	ATN-1	hematopoietic system	T-cell leukemia
BALL-1	BALL_1-sc-2237128	ERS666942	EGAN00001266060	Homo sapiens	NCBI Taxonomy	9606	BALL-1	hematopoietic system	acute lymphoblastic leukemia	not available	  	910705	P-MTAB-68143	13355130_ERX1027385	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX1027385	sequencing assay	ERX1027385	EGAX00001306564	ERR948400	ERR948400	EGAR00001336070	15863_3.cram	HUMAN_37_RNA_seq_BALL-1_15863_3.ua.bam	BALL-1	hematopoietic system	acute lymphoblastic leukemia
BB30-HNC	BB30_HNC-sc-2237129	ERS666943	EGAN00001266061	Homo sapiens	NCBI Taxonomy	9606	BB30-HNC	mucosa	head and neck squamous cell carcinoma	female	  	753531	P-MTAB-68143	13355131_ERX1027386	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX1027386	sequencing assay	ERX1027386	EGAX00001306565	ERR948401	ERR948401	EGAR00001336071	15863_4.cram	HUMAN_37_RNA_seq_BB30-HNC_15863_4.ua.bam	BB30-HNC	mucosa	head and neck squamous cell carcinoma
BB49-HNC	  	  	EGAN00001266062	Homo sapiens	NCBI Taxonomy	9606	BB49-HNC	mucosa	head and neck squamous cell carcinoma	female	  	753532	P-MTAB-68143	Extract_BB49-HNC	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BB49-HNC	sequencing assay	  	  	ERR956019	ERR956019	EGAR00001339062	15863_5.cram	HUMAN_37_RNA_seq_BB49-HNC_15863_5.ua.bam	BB49-HNC	mucosa	head and neck squamous cell carcinoma
BB65-RCC	BB65_RCC-sc-2188536	ERS622677	EGAN00001252852	Homo sapiens	NCBI Taxonomy	9606	BB65-RCC	kidney	clear cell renal carcinoma	male	  	753533	P-MTAB-68143	12974913_ERX979537	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979537	sequencing assay	ERX979537	EGAX00001300759	ERR900148	ERR900148	EGAR00001329473	15550_2.cram	HUMAN_37_RNA_seq_BB65-RCC_15550_2.ua.bam	BB65-RCC	kidney	clear cell renal carcinoma
BC-1	  	  	EGAN00001266063	Homo sapiens	NCBI Taxonomy	9606	BC-1	hematopoietic system	diffuse large B cell lymphoma	male	  	910919	P-MTAB-68143	Extract_BC-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BC-1	sequencing assay	  	  	ERR956020	ERR956020	EGAR00001339063	15863_6.cram	HUMAN_37_RNA_seq_BC-1_15863_6.ua.bam	BC-1	hematopoietic system	diffuse large B cell lymphoma
BC-3	  	  	EGAN00001266064	Homo sapiens	NCBI Taxonomy	9606	BC-3	hematopoietic system	diffuse large B cell lymphoma	male	  	910918	P-MTAB-68143	Extract_BC-3	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BC-3	sequencing assay	  	  	ERR956021	ERR956021	EGAR00001339064	15863_7.cram	HUMAN_37_RNA_seq_BC-3_15863_7.ua.bam	BC-3	hematopoietic system	diffuse large B cell lymphoma
BE-13	  	  	EGAN00001266065	Homo sapiens	NCBI Taxonomy	9606	BE-13	hematopoietic system	acute lymphoblastic leukemia	female	  	906763	P-MTAB-68143	Extract_BE-13	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BE-13	sequencing assay	  	  	ERR956022	ERR956022	EGAR00001339065	15863_8.cram	HUMAN_37_RNA_seq_BE-13_15863_8.ua.bam	BE-13	hematopoietic system	acute lymphoblastic leukemia
BE2-M17	  	  	EGAN00001266066	Homo sapiens	NCBI Taxonomy	9606	BE2-M17	brain	neuroblastoma	male	bone marrow	753616	P-MTAB-68143	Extract_BE2-M17	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BE2-M17	sequencing assay	  	  	ERR956023	ERR956023	EGAR00001339066	15875_1.cram	HUMAN_37_RNA_seq_BE2-M17_15875_1.ua.bam	BE2-M17	brain	neuroblastoma
Becker	  	  	EGAN00001266067	Homo sapiens	NCBI Taxonomy	9606	Becker	brain	glioblastoma multiforme	male	  	906746	P-MTAB-68143	Extract_Becker	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_Becker	sequencing assay	  	  	ERR956024	ERR956024	EGAR00001339067	15875_2.cram	HUMAN_37_RNA_seq_Becker_15875_2.ua.bam	Becker	brain	glioblastoma multiforme
BICR10	  	  	EGAN00001266068	Homo sapiens	NCBI Taxonomy	9606	BICR10	mucosa	head and neck squamous cell carcinoma	female	  	1290724	P-MTAB-68143	Extract_BICR10	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BICR10	sequencing assay	  	  	ERR956025	ERR956025	EGAR00001339068	15875_3.cram	HUMAN_37_RNA_seq_BICR10_15875_3.ua.bam	BICR10	mucosa	head and neck squamous cell carcinoma
BICR78	  	  	EGAN00001266069	Homo sapiens	NCBI Taxonomy	9606	BICR78	mucosa	head and neck squamous cell carcinoma	male	  	1240122	P-MTAB-68143	Extract_BICR78	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BICR78	sequencing assay	  	  	ERR956026	ERR956026	EGAR00001339069	15875_4.cram	HUMAN_37_RNA_seq_BICR78_15875_4.ua.bam	BICR78	mucosa	head and neck squamous cell carcinoma
BONNA-12	  	  	EGAN00001266070	Homo sapiens	NCBI Taxonomy	9606	BONNA-12	hematopoietic system	hairy cell leukemia	male	  	906695	P-MTAB-68143	Extract_BONNA-12	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BONNA-12	sequencing assay	  	  	ERR956027	ERR956027	EGAR00001339070	15875_5.cram	HUMAN_37_RNA_seq_BONNA-12_15875_5.ua.bam	BONNA-12	hematopoietic system	hairy cell leukemia
BPH-1	  	  	EGAN00001266071	Homo sapiens	NCBI Taxonomy	9606	BPH-1	prostate gland	benign prostatic hyperplasia	male	  	924105	P-MTAB-68143	Extract_BPH-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_BPH-1	sequencing assay	  	  	ERR956028	ERR956028	EGAR00001339071	15875_6.cram	HUMAN_37_RNA_seq_BPH-1_15875_6.ua.bam	BPH-1	prostate gland	benign prostatic hyperplasia
BV-173	BV_173-sc-2013147	ERS499884	EGAN00001209144	Homo sapiens	NCBI Taxonomy	9606	BV-173	hematopoietic system	chronic myelogenous leukemia	male	  	910710	P-MTAB-68143	11005730_ERX631283	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX631283	sequencing assay	ERX631283	EGAX00001238887	ERR676316	ERR676316	EGAR00001253987	13617_4.cram	HUMAN_37_RNA_seq_BV-173_13617_4.ua.bam	BV-173	hematopoietic system	chronic myelogenous leukemia
C-33-A	  	  	EGAN00001266072	Homo sapiens	NCBI Taxonomy	9606	C-33-A	uterine cervix	cervical carcinoma	female	  	687505	P-MTAB-68143	Extract_C-33-A	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_C-33-A	sequencing assay	  	  	ERR956029	ERR956029	EGAR00001339072	15875_7.cram	HUMAN_37_RNA_seq_C-33-A_15875_7.ua.bam	C-33-A	uterine cervix	cervical carcinoma
C-4-I	  	  	EGAN00001266074	Homo sapiens	NCBI Taxonomy	9606	C-4-I	uterine cervix	cervical carcinoma	female	  	687506	P-MTAB-68143	Extract_C-4-I	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_C-4-I	sequencing assay	  	  	ERR956031	ERR956031	EGAR00001339074	15876_1.cram	HUMAN_37_RNA_seq_C-4-I_15876_1.ua.bam	C-4-I	uterine cervix	cervical carcinoma
C2BBe1	C2BBe1-sc-1971638	ERS462749	EGAN00001202147	Homo sapiens	NCBI Taxonomy	9606	C2BBe1	large intestine	colorectal adenocarcinoma	male	  	910700	P-MTAB-68143	10923745_ERX636394	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX636394	sequencing assay	ERX636394	EGAX00001240306	ERR691414	ERR691414	EGAR00001265524	13667_2.cram	HUMAN_37_RNA_seq_C2BBe1_13667_2.ua.bam	C2BBe1	large intestine	colorectal adenocarcinoma
C3A	  	  	EGAN00001266073	Homo sapiens	NCBI Taxonomy	9606	C3A	liver	hepatocellular carcinoma	male	  	910850	P-MTAB-68143	Extract_C3A	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_C3A	sequencing assay	  	  	ERR956030	ERR956030	EGAR00001339073	15875_8.cram	HUMAN_37_RNA_seq_C3A_15875_8.ua.bam	C3A	liver	hepatocellular carcinoma
Ca-Ski	  	  	EGAN00001266077	Homo sapiens	NCBI Taxonomy	9606	Ca-Ski	uterine cervix	cervical squamous cell carcinoma	female	  	906824	P-MTAB-68143	Extract_Ca-Ski	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_Ca-Ski	sequencing assay	  	  	ERR956034	ERR956034	EGAR00001339077	15876_4.cram	HUMAN_37_RNA_seq_Ca-Ski_15876_4.ua.bam	Ca-Ski	uterine cervix	cervical squamous cell carcinoma
Ca9-22	  	  	EGAN00001266075	Homo sapiens	NCBI Taxonomy	9606	Ca9-22	mucosa	head and neck squamous cell carcinoma	male	  	753538	P-MTAB-68143	Extract_Ca9-22	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_Ca9-22	sequencing assay	  	  	ERR956032	ERR956032	EGAR00001339075	15876_2.cram	HUMAN_37_RNA_seq_Ca9-22_15876_2.ua.bam	Ca9-22	mucosa	head and neck squamous cell carcinoma
CAL-39	  	  	EGAN00001266076	Homo sapiens	NCBI Taxonomy	9606	CAL-39	vulva	squamous cell carcinoma	female	  	924107	P-MTAB-68143	Extract_CAL-39	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CAL-39	sequencing assay	  	  	ERR956033	ERR956033	EGAR00001339076	15876_3.cram	HUMAN_37_RNA_seq_CAL-39_15876_3.ua.bam	CAL-39	vulva	squamous cell carcinoma
CAL-72	CAL_72-sc-2152833	ERS570559	EGAN00001236654	Homo sapiens	NCBI Taxonomy	9606	CAL-72	bone	osteosarcoma	not available	  	906827	P-MTAB-68143	12164697_ERX702625	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX702625	sequencing assay	ERX702625	EGAX00001269825	ERR757995	ERR757995	EGAR00001295968	14628_3.cram	HUMAN_37_RNA_seq_CAL-72_14628_3.ua.bam	CAL-72	bone	osteosarcoma
CAL-78	  	  	EGAN00001280531	Homo sapiens	NCBI Taxonomy	9606	CAL-78	bone	chondrosarcoma	not available	  	1290765	P-MTAB-68143	Extract_CAL-78	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CAL-78	sequencing assay	  	  	ERR1056388	ERR1056388	EGAR00001363347	16756_2#49.cram	HUMAN_37_RNA_seq_CAL-78_16756_2_plx49.ua.bam	CAL-78	bone	chondrosarcoma
CaR-1	CaR_1-sc-1971639	ERS462750	EGAN00001202148	Homo sapiens	NCBI Taxonomy	9606	CaR-1	large intestine	colorectal adenocarcinoma	not available	  	924108	P-MTAB-68143	10923746_ERX636395	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX636395	sequencing assay	ERX636395	EGAX00001240307	ERR691415	ERR691415	EGAR00001265525	13667_3.cram	HUMAN_37_RNA_seq_CaR-1_13667_3.ua.bam	CaR-1	large intestine	colorectal adenocarcinoma
CCK-81	CCK_81-sc-1971640	ERS462751	EGAN00001202149	Homo sapiens	NCBI Taxonomy	9606	CCK-81	large intestine	colorectal adenocarcinoma	not available	  	1240123	P-MTAB-68143	10923747_ERX636396	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX636396	sequencing assay	ERX636396	EGAX00001240308	ERR691416	ERR691416	EGAR00001265526	13667_4.cram	HUMAN_37_RNA_seq_CCK-81_13667_4.ua.bam	CCK-81	large intestine	colorectal adenocarcinoma
CCRF-CEM	  	  	EGAN00001266078	Homo sapiens	NCBI Taxonomy	9606	CCRF-CEM	hematopoietic system	acute lymphoblastic leukemia	female	  	905952	P-MTAB-68143	Extract_CCRF-CEM	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CCRF-CEM	sequencing assay	  	  	ERR956035	ERR956035	EGAR00001339078	15876_5.cram	HUMAN_37_RNA_seq_CCRF-CEM_15876_5.ua.bam	CCRF-CEM	hematopoietic system	acute lymphoblastic leukemia
CESS	  	  	EGAN00001266079	Homo sapiens	NCBI Taxonomy	9606	CESS	hematopoietic system	acute myelomonocytic leukemia	male	  	910688	P-MTAB-68143	Extract_CESS	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CESS	sequencing assay	  	  	ERR956036	ERR956036	EGAR00001339079	15876_6.cram	HUMAN_37_RNA_seq_CESS_15876_6.ua.bam	CESS	hematopoietic system	acute myelomonocytic leukemia
CGTH-W-1	CGTH_W_1-sc-2188537	ERS622678	EGAN00001252853	Homo sapiens	NCBI Taxonomy	9606	CGTH-W-1	thyroid gland	follicular thyroid carcinoma	female	  	910568	P-MTAB-68143	12974914_ERX979538	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979538	sequencing assay	ERX979538	EGAX00001300760	ERR900149	ERR900149	EGAR00001329474	15550_3.cram	HUMAN_37_RNA_seq_CGTH-W-1_15550_3.ua.bam	CGTH-W-1	thyroid gland	follicular thyroid carcinoma
CHL-1	CHL_1-sc-2188490	ERS622631	EGAN00001252806	Homo sapiens	NCBI Taxonomy	9606	CHL-1	skin	melanoma	not available	  	910853	P-MTAB-68143	12790146_ERX945382	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX945382	sequencing assay	ERX945382	EGAX00001293396	ERR865754	ERR865754	EGAR00001322101	15295_4.cram	HUMAN_37_RNA_seq_CHL-1_15295_4.ua.bam	CHL-1	skin	melanoma
CHL-1	CHL_1-sc-2188490	ERS622631	EGAN00001252806	Homo sapiens	NCBI Taxonomy	9606	CHL-1	skin	melanoma	not available	  	910853	P-MTAB-68143	12790146_ERX955620	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX955620	sequencing assay	ERX955620	EGAX00001295979	ERR876057	ERR876057	EGAR00001324693	15367_7.cram	HUMAN_37_RNA_seq_CHL-1_15367_7.ua.bam	CHL-1	skin	melanoma
CHP-134	  	  	EGAN00001266080	Homo sapiens	NCBI Taxonomy	9606	CHP-134	peripheral nervous system	adrenal gland neuroblastoma	male	  	910941	P-MTAB-68143	Extract_CHP-134	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_CHP-134	sequencing assay	  	  	ERR956037	ERR956037	EGAR00001339080	15876_7.cram	HUMAN_37_RNA_seq_CHP-134_15876_7.ua.bam	CHP-134	peripheral nervous system	adrenal gland neuroblastoma
CHSA0011	CHSA0011-sc-2188491	ERS622632	EGAN00001252807	Homo sapiens	NCBI Taxonomy	9606	CHSA0011	bone	chondrosarcoma	not available	  	1290767	P-MTAB-68143	12790147_ERX945383	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX945383	sequencing assay	ERX945383	EGAX00001293397	ERR865755	ERR865755	EGAR00001322102	15295_5.cram	HUMAN_37_RNA_seq_CHSA0011_15295_5.ua.bam	CHSA0011	bone	chondrosarcoma
CHSA0011	CHSA0011-sc-2188491	ERS622632	EGAN00001252807	Homo sapiens	NCBI Taxonomy	9606	CHSA0011	bone	chondrosarcoma	not available	  	1290767	P-MTAB-68143	12790147_ERX955621	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX955621	sequencing assay	ERX955621	EGAX00001295980	ERR876058	ERR876058	EGAR00001324694	15367_8.cram	HUMAN_37_RNA_seq_CHSA0011_15367_8.ua.bam	CHSA0011	bone	chondrosarcoma
CHSA0108	CHSA0108-sc-2188492	ERS622633	EGAN00001252808	Homo sapiens	NCBI Taxonomy	9606	CHSA0108	bone	chondrosarcoma	not available	  	1290768	P-MTAB-68143	12790148_ERX945384	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX945384	sequencing assay	ERX945384	EGAX00001293398	ERR865756	ERR865756	EGAR00001322103	15295_6.cram	HUMAN_37_RNA_seq_CHSA0108_15295_6.ua.bam	CHSA0108	bone	chondrosarcoma
CHSA8926	CHSA8926-sc-2188493	ERS622634	EGAN00001252809	Homo sapiens	NCBI Taxonomy	9606	CHSA8926	bone	chondrosarcoma	not available	  	1303912	P-MTAB-68143	12790149_ERX945385	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX945385	sequencing assay	ERX945385	EGAX00001293399	ERR865757	ERR865757	EGAR00001322104	15295_7.cram	HUMAN_37_RNA_seq_CHSA8926_15295_7.ua.bam	CHSA8926	bone	chondrosarcoma
CL-40	CL_40-sc-2152834	ERS570560	EGAN00001236655	Homo sapiens	NCBI Taxonomy	9606	CL-40	large intestine	colorectal adenocarcinoma	female	  	1240124	P-MTAB-68143	12164698_ERX702626	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX702626	sequencing assay	ERX702626	EGAX00001269826	ERR757996	ERR757996	EGAR00001295969	14628_4.cram	HUMAN_37_RNA_seq_CL-40_14628_4.ua.bam	CL-40	large intestine	colorectal adenocarcinoma
CML-T1	CML_T1-sc-2013148	ERS499885	EGAN00001209145	Homo sapiens	NCBI Taxonomy	9606	CML-T1	hematopoietic system	chronic myelogenous leukemia	female	  	910951	P-MTAB-68143	11005735_ERX631284	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX631284	sequencing assay	ERX631284	EGAX00001238888	ERR676317	ERR676317	EGAR00001253988	13617_5.cram	HUMAN_37_RNA_seq_CML-T1_13617_5.ua.bam	CML-T1	hematopoietic system	chronic myelogenous leukemia
COLO-205	COLO_205-sc-1971641	ERS462752	EGAN00001202150	Homo sapiens	NCBI Taxonomy	9606	COLO-205	large intestine	colorectal adenocarcinoma	male	  	905961	P-MTAB-68143	10432782_ERX627728	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627728	sequencing assay	ERX627728	EGAX00001237081	ERR672750	ERR672750	EGAR00001252175	13226_1.cram	HUMAN_37_RNA_seq_COLO-205_13226_1.ua.bam	COLO-205	large intestine	colorectal adenocarcinoma
